#Time        gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#HH:MM:SS    Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 11:54:34      0     52     36     35     71      1      0      0      -      -    877   1530      0      0 
 11:54:34      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:35      0     52     36     34     71      1      0      0      -      -    877   1530      0      0 
 11:54:35      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:36      0     52     36     34     70      1      0      0      -      -    877   1530      0      0 
 11:54:36      1     46     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:37      0     52     36     34     70      1      0      0      -      -    877   1530      0      0 
 11:54:37      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:38      0     52     36     35     70      1      0      0      -      -    877   1530      0      0 
 11:54:38      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:39      0     53     36     35     70      1      0      0      -      -    877   1530      0      0 
 11:54:39      1     45     34     31      0      0      0      0      -      -    877   1312      0      0 
 11:54:40      0     53     36     34     67      2      0      0      -      -    877   1530      0      0 
